"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Michigan"	"26"	"2015"	"2015"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Sunday"	"1"	15	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Monday"	"2"	19	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Tuesday"	"3"	25	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Wednesday"	"4"	20	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Thursday"	"5"	20	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Friday"	"6"	15	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Saturday"	"7"	19	Not Applicable	Not Applicable
	"Minnesota"	"27"	"1999"	"1999"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Sunday"	"1"	19	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Monday"	"2"	18	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Tuesday"	"3"	17	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Wednesday"	"4"	15	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Thursday"	"5"	24	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Friday"	"6"	11	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Saturday"	"7"	22	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2000"	"2000"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Sunday"	"1"	24	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Monday"	"2"	22	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Tuesday"	"3"	25	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Wednesday"	"4"	30	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Thursday"	"5"	20	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Friday"	"6"	26	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Saturday"	"7"	31	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2001"	"2001"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Sunday"	"1"	27	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Monday"	"2"	24	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Tuesday"	"3"	38	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Wednesday"	"4"	29	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Thursday"	"5"	33	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Friday"	"6"	22	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Saturday"	"7"	20	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2002"	"2002"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Sunday"	"1"	31	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Monday"	"2"	35	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Tuesday"	"3"	33	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Wednesday"	"4"	32	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Thursday"	"5"	39	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Friday"	"6"	30	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Saturday"	"7"	35	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2003"	"2003"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Sunday"	"1"	40	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Monday"	"2"	27	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Tuesday"	"3"	33	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Wednesday"	"4"	35	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Thursday"	"5"	37	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Friday"	"6"	30	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Saturday"	"7"	38	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2004"	"2004"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Sunday"	"1"	65	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Monday"	"2"	29	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Tuesday"	"3"	40	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Wednesday"	"4"	41	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Thursday"	"5"	30	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Friday"	"6"	39	Not Applicable	Not Applicable
